,time,loc,op,stop
0,55565,0.0,0.0,-1
1,55566,0.0,0.35,54009
2,55567,0.0,0.35,54009
3,55568,0.0,0.35,54009
4,55569,0.0,0.35,54009
5,55570,0.0,0.35,54009
6,55571,0.0,0.35,54009
7,55572,0.0,0.35,54009
8,55573,0.0,0.35,54009
9,55574,0.0,0.35,54009
10,55575,0.0,0.35,54009
11,55576,0.0,0.35,54009
12,55577,0.0,0.35,54009
13,55578,0.0,0.35,54009
14,55579,0.0,0.35,54009
15,55580,0.0,0.35,54009
16,55581,0.0,0.35,54009
17,55582,0.0,0.35,54009
18,55583,0.0,0.35,54009
19,55584,0.0,0.35,54009
20,55585,0.0,0.35,54009
21,55586,0.0,0.35,54009
22,55587,0.0,0.35,54009
23,55588,0.0,0.35,54009
24,55589,0.0,0.35,54009
25,55590,0.0,0.35,54009
26,55591,0.0,0.35,54009
27,55592,0.0,0.35,54009
28,55593,0.0,0.35,54009
29,55594,0.0,0.35,54009
30,55595,0.0,0.35,54009
31,55596,0.0,0.35,54009
32,55597,0.0,0.35,54009
33,55598,0.0,0.35,54009
34,55599,0.0,0.35,54009
35,55600,0.0,0.35,54009
36,55601,0.0,0.35,54009
37,55602,0.0,0.35,54009
38,55603,0.0,0.35,54009
39,55604,0.0,0.35,54009
40,55605,0.0,0.35,54009
41,55606,0.0,0.35,54009
42,55607,0.0,0.35,54009
43,55608,0.0,0.35,54009
44,55609,0.0,0.35,54009
45,55610,0.0,0.35,54009
46,55611,0.0,0.35,54009
47,55612,0.0,0.35,54009
48,55613,0.0,0.35,54009
49,55614,0.0,0.35,54009
50,55615,0.0,0.35,54009
51,55616,0.0,0.35,54009
52,55617,0.0,0.35,54009
53,55618,0.0,0.35,54009
54,55619,0.0,0.35,54009
55,55620,0.0,0.35,54009
56,55621,0.0,0.35,54009
57,55622,0.0,0.35,54009
58,55623,0.0,0.35,54009
59,55624,0.0,0.35,54009
60,55625,0.0,0.35,54009
61,55626,0.0,0.35,54009
62,55627,0.0,0.35,54009
63,55628,0.0,0.35,54009
64,55629,0.0,0.35,54009
65,55630,0.0,0.35,54009
66,55631,0.0,0.35,54009
67,55632,0.0,0.35,54009
68,55633,0.0,0.35,54009
69,55634,0.0,0.35,54009
70,55635,0.0,0.35,54009
71,55636,0.0,0.35,54009
72,55637,0.0,0.35,54009
73,55638,0.0,0.35,54009
74,55639,0.0,0.35,54009
75,55640,0.0,0.35,54009
76,55641,0.0,0.35,54009
77,55642,0.0,0.35,54009
78,55643,0.0,0.35,54009
79,55644,0.0,0.35,54009
80,55645,0.0,0.35,54009
81,55646,0.0,0.35,54009
82,55647,0.0,0.35,54009
83,55648,0.0,0.35,54009
84,55649,0.0,0.35,54009
85,55650,0.0,0.35,54009
86,55651,0.0,0.35,54009
87,55652,0.0,0.35,54009
88,55653,0.0,0.35,54009
89,55654,0.0,0.35,54009
90,55655,0.0,0.35,54009
91,55656,0.0,0.35,54009
92,55657,0.0,0.35,54009
93,55658,0.0,0.35,54009
94,55659,0.0,0.35,54009
95,55660,0.0,0.35,54009
96,55661,0.0,0.35,54009
97,55662,0.0,0.35,54009
98,55663,0.0,0.35,54009
99,55664,0.0,0.35,54009
100,55665,0.0,0.35,54009
101,55666,0.0,0.35,54009
102,55667,0.0,0.35,54009
103,55668,0.0,0.35,54009
104,55669,0.0,0.35,54009
105,55670,0.0,0.35,54009
106,55671,0.0,0.35,54009
107,55672,0.0,0.35,54009
108,55673,0.0,0.35,54009
109,55674,0.0,0.35,54009
110,55675,0.0,0.35,54009
111,55676,0.0,0.35,54009
112,55677,0.0,0.35,54009
113,55678,0.0,0.35,54009
114,55679,0.0,0.35,54009
115,55680,0.0,0.35,54009
116,55681,0.0,0.35,54009
117,55682,0.0,0.35,54009
118,55683,0.0,0.35,54009
119,55684,0.0,0.35,54009
120,55685,0.0,0.35,54009
121,55686,0.0,0.35,54009
122,55687,0.0,0.35,54009
123,55688,0.0,0.35,54009
124,55689,0.0,0.35,54009
125,55690,0.0,0.35,54009
126,55691,0.0,0.35,54009
127,55692,0.0,0.35,54009
128,55693,0.00488888888888889,0.35,-1
129,55694,0.00977777777777778,0.35,-1
130,55695,0.014666666666666668,0.35,-1
131,55696,0.01955555555555556,0.35,-1
132,55697,0.02444444444444445,0.35,-1
133,55698,0.02933333333333334,0.35,-1
134,55699,0.03422222222222223,0.35,-1
135,55700,0.03911111111111112,0.35,-1
136,55701,0.044000000000000004,0.35,-1
137,55702,0.04888888888888889,0.35,-1
138,55703,0.05377777777777778,0.35,-1
139,55704,0.058666666666666666,0.35,-1
140,55705,0.06355555555555556,0.35,-1
141,55706,0.06844444444444445,0.35,-1
142,55707,0.07333333333333333,0.35,-1
143,55708,0.07822222222222222,0.35,-1
144,55709,0.08311111111111111,0.35,-1
145,55710,0.088,0.35,-1
146,55711,0.09288888888888888,0.35,-1
147,55712,0.09777777777777777,0.35,-1
148,55713,0.10266666666666666,0.35,-1
149,55714,0.10755555555555554,0.35,-1
150,55715,0.11244444444444443,0.35,-1
151,55716,0.11733333333333332,0.35,-1
152,55717,0.1222222222222222,0.35,-1
153,55718,0.1271111111111111,0.35,-1
154,55719,0.13199999999999998,0.35,-1
155,55720,0.13688888888888887,0.35,-1
156,55721,0.14177777777777775,0.35,-1
157,55722,0.14666666666666664,0.35,-1
158,55723,0.15155555555555553,0.35,-1
159,55724,0.1564444444444444,0.35,-1
160,55725,0.1613333333333333,0.35,-1
161,55726,0.1662222222222222,0.35,-1
162,55727,0.17111111111111107,0.35,-1
163,55728,0.17599999999999996,0.35,-1
164,55729,0.18088888888888885,0.35,-1
165,55730,0.18577777777777774,0.35,-1
166,55731,0.19066666666666662,0.35,-1
167,55732,0.1955555555555555,0.35,-1
168,55733,0.2004444444444444,0.35,-1
169,55734,0.20533333333333328,0.35,-1
170,55735,0.21022222222222217,0.35,-1
171,55736,0.21511111111111106,0.35,-1
172,55737,0.21999999999999995,0.35,-1
173,55738,0.22488888888888883,0.35,-1
174,55739,0.22977777777777772,0.35,-1
175,55740,0.2346666666666666,0.35,-1
176,55741,0.2395555555555555,0.35,-1
177,55742,0.24444444444444438,0.35,-1
178,55743,0.24933333333333327,0.35,-1
179,55744,0.2542222222222222,0.35,-1
180,55745,0.25911111111111107,0.35,-1
