,time,loc,op,stop
0,71260,0.0,0.0,-1
1,71261,0.0,0.075,65009
2,71262,0.0,0.075,65009
3,71263,0.0,0.075,65009
4,71264,0.0,0.075,65009
5,71265,0.0,0.075,65009
6,71266,0.0,0.075,65009
7,71267,0.0,0.075,65009
8,71268,0.0,0.075,65009
9,71269,0.0,0.075,65009
10,71270,0.0,0.075,65009
11,71271,0.0,0.075,65009
12,71272,0.0,0.075,65009
13,71273,0.0,0.075,65009
14,71274,0.0,0.075,65009
15,71275,0.0,0.075,65009
16,71276,0.0,0.075,65009
17,71277,0.0,0.075,65009
18,71278,0.0,0.075,65009
19,71279,0.0,0.075,65009
20,71280,0.0,0.075,65009
21,71281,0.0,0.075,65009
22,71282,0.0,0.075,65009
23,71283,0.0,0.075,65009
24,71284,0.0,0.075,65009
25,71285,0.0,0.075,65009
26,71286,0.0,0.075,65009
27,71287,0.0,0.075,65009
28,71288,0.0,0.075,65009
29,71289,0.0034444444444444444,0.075,-1
30,71290,0.006888888888888889,0.075,-1
31,71291,0.010333333333333333,0.075,-1
32,71292,0.013777777777777778,0.075,-1
33,71293,0.017222222222222222,0.075,-1
34,71294,0.020666666666666667,0.075,-1
35,71295,0.02411111111111111,0.075,-1
36,71296,0.027555555555555555,0.075,-1
37,71297,0.031,0.075,-1
38,71298,0.034444444444444444,0.075,-1
39,71299,0.03788888888888889,0.075,-1
40,71300,0.04133333333333333,0.075,-1
41,71301,0.04477777777777778,0.075,-1
42,71302,0.04822222222222222,0.075,-1
43,71303,0.051666666666666666,0.075,-1
44,71304,0.05511111111111111,0.075,-1
45,71305,0.058555555555555555,0.075,-1
46,71306,0.062,0.075,-1
47,71307,0.06544444444444444,0.075,-1
48,71308,0.06888888888888889,0.075,-1
49,71309,0.07233333333333333,0.075,-1
50,71310,0.07577777777777778,0.075,-1
51,71311,0.07922222222222222,0.075,-1
52,71312,0.08266666666666667,0.075,-1
53,71313,0.08611111111111111,0.075,-1
54,71314,0.08955555555555555,0.075,-1
55,71315,0.093,0.075,-1
56,71316,0.09644444444444444,0.075,-1
57,71317,0.09988888888888889,0.075,-1
58,71318,0.10333333333333333,0.075,-1
59,71319,0.10677777777777778,0.075,-1
60,71320,0.11022222222222222,0.075,-1
61,71321,0.11366666666666667,0.075,-1
62,71322,0.11711111111111111,0.075,-1
63,71323,0.12055555555555555,0.075,-1
64,71324,0.124,0.075,-1
65,71325,0.12744444444444444,0.075,-1
66,71326,0.1308888888888889,0.075,-1
67,71327,0.13433333333333333,0.075,-1
68,71328,0.13777777777777778,0.075,-1
69,71329,0.14122222222222222,0.075,-1
70,71330,0.14466666666666667,0.075,-1
71,71331,0.1481111111111111,0.075,-1
72,71332,0.15155555555555555,0.075,-1
73,71333,0.155,0.075,-1
74,71334,0.15844444444444444,0.075,-1
75,71335,0.1618888888888889,0.075,-1
76,71336,0.16533333333333333,0.075,-1
77,71337,0.16877777777777778,0.075,-1
78,71338,0.17222222222222222,0.075,-1
79,71339,0.17566666666666667,0.075,-1
80,71340,0.1791111111111111,0.075,-1
81,71341,0.18255555555555555,0.075,-1
82,71342,0.186,0.075,-1
83,71343,0.18944444444444444,0.075,-1
84,71344,0.1928888888888889,0.075,-1
85,71345,0.19633333333333333,0.075,-1
86,71346,0.19977777777777778,0.075,-1
87,71347,0.20322222222222222,0.075,-1
88,71348,0.20666666666666667,0.075,-1
89,71349,0.2101111111111111,0.075,-1
90,71350,0.21355555555555555,0.075,-1
91,71351,0.217,0.075,-1
92,71352,0.22044444444444444,0.075,-1
93,71353,0.2238888888888889,0.075,-1
94,71354,0.22733333333333333,0.075,-1
95,71355,0.23077777777777778,0.075,-1
96,71356,0.23422222222222222,0.075,-1
97,71357,0.23766666666666666,0.075,-1
98,71358,0.2411111111111111,0.075,-1
99,71359,0.24455555555555555,0.075,-1
100,71360,0.248,0.075,-1
101,71361,0.25144444444444447,0.075,-1
102,71362,0.25488888888888894,0.075,-1
103,71363,0.2583333333333334,0.075,-1
104,71364,0.2617777777777779,0.075,-1
105,71365,0.26522222222222236,0.075,-1
106,71366,0.26866666666666683,0.075,-1
107,71367,0.2721111111111113,0.075,-1
108,71368,0.2755555555555558,0.075,-1
109,71369,0.27900000000000025,0.075,-1
110,71370,0.2824444444444447,0.075,-1
111,71371,0.2858888888888892,0.075,-1
112,71372,0.28933333333333366,0.075,-1
113,71373,0.29277777777777814,0.075,-1
114,71374,0.2962222222222226,0.075,-1
115,71375,0.2996666666666671,0.075,-1
116,71376,0.30311111111111155,0.075,-1
117,71377,0.306555555555556,0.075,-1
118,71378,0.3100000000000005,0.075,-1
119,71379,0.31344444444444497,0.075,-1
120,71380,0.31688888888888944,0.075,-1
121,71381,0.3203333333333339,0.075,-1
122,71382,0.3237777777777784,0.075,-1
123,71383,0.32722222222222286,0.075,-1
124,71384,0.33066666666666733,0.075,-1
125,71385,0.3341111111111118,0.075,-1
126,71386,0.3375555555555563,0.075,-1
127,71387,0.34100000000000075,0.075,-1
128,71388,0.3444444444444452,0.075,-1
129,71389,0.3478888888888897,0.075,-1
130,71390,0.35133333333333416,0.075,-1
131,71391,0.35477777777777864,0.075,-1
132,71392,0.3582222222222231,0.075,-1
133,71393,0.3616666666666676,0.075,-1
134,71394,0.36511111111111205,0.075,-1
135,71395,0.3685555555555565,0.075,-1
136,71396,0.372000000000001,0.075,-1
137,71397,0.37544444444444547,0.075,-1
138,71398,0.37888888888888994,0.075,-1
139,71399,0.3823333333333344,0.075,-1
140,71400,0.3857777777777789,0.075,-1
141,71401,0.38922222222222336,0.075,-1
142,71402,0.39266666666666783,0.075,-1
143,71403,0.3961111111111123,0.075,-1
144,71404,0.3961111111111123,0.075,65259
145,71405,0.3961111111111123,0.075,65259
146,71406,0.3961111111111123,0.075,65259
