,time,loc,op,stop
0,46829,0.0,0.0,-1
1,46830,0.0,0.05,65009
2,46831,0.0,0.05,65009
3,46832,0.0,0.05,65009
4,46833,0.0,0.05,65009
5,46834,0.0,0.05,65009
6,46835,0.0,0.05,65009
7,46836,0.0,0.05,65009
8,46837,0.0,0.05,65009
9,46838,0.0,0.05,65009
10,46839,0.0,0.05,65009
11,46840,0.0,0.05,65009
12,46841,0.0,0.05,65009
13,46842,0.0,0.05,65009
14,46843,0.0,0.05,65009
15,46844,0.0,0.05,65009
16,46845,0.0,0.05,65009
17,46846,0.0,0.05,65009
18,46847,0.0,0.05,65009
19,46848,0.0,0.05,65009
20,46849,0.005611111111111111,0.05,-1
21,46850,0.011222222222222222,0.05,-1
22,46851,0.016833333333333332,0.05,-1
23,46852,0.022444444444444444,0.05,-1
24,46853,0.028055555555555556,0.05,-1
25,46854,0.033666666666666664,0.05,-1
26,46855,0.03927777777777777,0.05,-1
27,46856,0.04488888888888888,0.05,-1
28,46857,0.05049999999999999,0.05,-1
29,46858,0.0561111111111111,0.05,-1
30,46859,0.061722222222222206,0.05,-1
31,46860,0.06733333333333331,0.05,-1
32,46861,0.07294444444444442,0.05,-1
33,46862,0.07855555555555553,0.05,-1
34,46863,0.08416666666666664,0.05,-1
35,46864,0.08977777777777775,0.05,-1
36,46865,0.09538888888888886,0.05,-1
37,46866,0.10099999999999996,0.05,-1
38,46867,0.10661111111111107,0.05,-1
39,46868,0.11222222222222218,0.05,-1
40,46869,0.11783333333333329,0.05,-1
41,46870,0.1234444444444444,0.05,-1
42,46871,0.1290555555555555,0.05,-1
43,46872,0.13466666666666663,0.05,-1
44,46873,0.14027777777777775,0.05,-1
45,46874,0.14588888888888887,0.05,-1
46,46875,0.1515,0.05,-1
47,46876,0.15711111111111112,0.05,-1
48,46877,0.16272222222222224,0.05,-1
49,46878,0.16833333333333336,0.05,-1
50,46879,0.17394444444444448,0.05,-1
51,46880,0.1795555555555556,0.05,-1
52,46881,0.18516666666666673,0.05,-1
53,46882,0.19077777777777785,0.05,-1
54,46883,0.19638888888888897,0.05,-1
55,46884,0.2020000000000001,0.05,-1
56,46885,0.20761111111111122,0.05,-1
57,46886,0.21322222222222234,0.05,-1
58,46887,0.21883333333333346,0.05,-1
59,46888,0.22444444444444459,0.05,-1
60,46889,0.2300555555555557,0.05,-1
61,46890,0.23566666666666683,0.05,-1
62,46891,0.24127777777777795,0.05,-1
