,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,65009,22266,23445,24354,25738,26350,26906,27980,28734,29456,30430,31588,32669,33397,34627,35611,36508,37322,38168,38715,39102,40197,40902,41096,42230,43137,44177,45056,46066,46829,47719,48878,50051,50862,51625,52683,53779,54622,55669,57201,59120,60070,61138,62375,62949,63701,64466,64875,65024,65669,66720,67845,69810,69863,71260,72456,73361,74408
1,65259,22369,23569,24425,25866,26433,26995,28061,28831,29526,30532,31670,32746,33497,34707,35717,36588,37434,38249,38797,39225,40291,40987,41205,42345,43208,44309,45149,46163,46898,47814,48973,50143,50965,51740,52763,53861,54731,55759,57321,59237,60212,61242,62508,63036,63818,64573,64992,65133,65783,66821,67968,69931,69942,71384,72530,73438,74497
2,65409,22439,23668,24471,25957,26480,27060,28122,28901,29576,30612,31739,32806,33571,34777,35795,36652,37522,38305,38852,39316,40359,41046,41285,42435,43258,44399,45199,46240,46946,47886,49043,50210,51043,51820,52824,53932,54813,55828,57416,59308,60314,61294,62613,63092,63913,64653,65076,65211,65845,66906,68056,70007,70025,71487,72591,73497,74558
3,65141,22531,23796,24543,26074,26543,27159,28201,28995,29654,30716,31827,32884,33667,34868,35895,36736,37637,38392,38935,39437,40448,41137,41392,42553,43335,44515,45277,46338,47021,47980,49134,50295,51146,51938,52902,54022,54921,55918,57538,59396,60448,61375,62750,63168,64039,64758,65188,65315,65937,67017,68170,70103,70105,71618,72670,73574,74635
4,65431,22589,23873,24589,26145,26587,27219,28250,29052,29703,30784,31895,32940,33726,34929,35969,36788,37709,38444,38987,39519,40502,41195,41457,42622,43382,44586,45325,46399,47068,48038,49192,50349,51208,52007,52951,54079,54986,55973,57617,59452,60527,61425,62831,63217,64119,64825,65247,65377,66002,67092,68251,70159,70177,71697,72719,73624,74681
5,67591,22704,24032,24682,26289,26679,27345,28348,29170,29803,30915,32006,33037,33849,35042,36095,36895,37854,38553,39094,39686,40615,41308,41603,42771,43480,44732,45425,46524,47163,48155,49305,50456,51337,52157,53051,54192,55123,56086,57767,59561,60696,61528,63003,63323,64277,64973,65386,65519,66120,67232,68394,70274,70274,71861,72819,73720,74774
6,67411,22796,24167,24765,26411,26761,27454,28435,29272,29891,31026,32102,33123,33954,35141,36205,36989,37978,38650,39188,39829,40713,41401,41729,42898,43567,44857,45513,46630,47248,48257,49404,50549,51449,52286,53139,54289,55240,56185,57896,59656,60839,61619,63146,63418,64412,65095,65498,65641,66223,67351,68518,70368,70368,72001,72907,73805,74850
7,67441,22872,24278,24837,26510,26832,27545,28510,29359,29966,31119,32185,33197,34044,35224,36297,37069,38081,38731,39266,39953,40797,41476,41834,43002,43642,44960,45589,46720,47321,48342,49487,50634,51543,52393,53215,54375,55339,56268,58002,59736,60956,61697,63258,63497,64523,65191,65585,65742,66311,67450,68620,70449,70462,72122,72983,73879,74910
8,67611,23044,24500,24973,26703,26968,27725,28649,29529,30112,31311,32343,33335,34218,35383,36476,37222,38287,38890,39416,40194,40960,41629,42048,43212,43785,45163,45733,46894,47460,48507,49646,50784,51728,52608,53359,54533,55532,56429,58211,59887,61199,61846,63486,63655,64746,65392,65786,65947,66483,67647,68823,70628,70648,72351,73127,74016,75035
9,67601,23168,24667,25086,26858,27078,27869,28765,29661,30232,31463,32472,33449,34358,35512,36619,37347,38444,39011,39532,40382,41092,41749,42217,43373,43902,45319,45852,47029,47576,48640,49775,50906,51871,52777,53478,54664,55686,56561,58375,60031,61383,61969,63677,63783,64912,65540,65932,66098,66621,67802,68984,70745,70795,72528,73245,74129,75126
10,67629,23321,24860,25220,27025,27203,28040,28901,29812,30373,31635,32624,33582,34523,35664,36784,37495,38624,39150,39669,40597,41239,41887,42418,43559,44040,45504,45992,47184,47712,48797,49927,51049,52038,52974,53618,54814,55868,56717,58588,60177,61593,62114,63897,63931,65105,65714,66108,66275,66784,67986,69174,70912,70950,72734,73385,74263,75245
11,64621,23411,24970,25312,27119,27283,28149,28990,29902,30470,31746,32728,33669,34632,35765,36883,37591,38728,39233,39754,40719,41331,41967,42540,43664,44136,45607,46089,47276,47807,48901,50030,51142,52140,53089,53716,54910,55979,56821,58710,60274,61711,62213,64003,64026,65215,65814,66201,66373,66891,68100,69296,70998,71054,72855,73482,74355,75297
12,64461,23502,25077,25408,27212,27363,28256,29079,29992,30570,31856,32831,33756,34744,35865,36982,37687,38831,39316,39840,40840,41422,42048,42660,43768,44234,45710,46188,47368,47901,49009,50135,51234,52241,53201,53815,55005,56088,56928,58834,60373,61829,62315,64110,64139,65325,65909,66288,66471,66996,68213,69421,71073,71160,72972,73575,74451,75352
13,66499,23580,25202,25507,27314,27444,28362,29169,30083,30669,31965,32934,33844,34854,35966,37080,37783,38937,39398,39926,40960,41512,42130,42781,43870,44335,45811,46286,47459,47995,49115,50241,51327,52342,53327,53917,55102,56195,57038,58960,60471,61944,62420,64226,64276,65439,66005,66375,66567,67102,68327,69548,71148,71269,73088,73668,74549,75413
