,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,65009,22266,23445,24354,25738,26350,26906,27980,28734,29456,30430,31588,32669,33397,34627,35611,36508,37322,38168,38715,39102,40197,40902,41096,42230,43137,44177,45056,46066,46829,47719,48878,50051,50862,51625,52683,53779,54622,55669,57201,59120,60070,61138,62375,62949,63701,64466,64875,65024,65669,66720,67845,69810,69863,71260,72456,73361,74408
1,65259,22378,23562,24442,25873,26456,26991,28067,28821,29534,30548,31686,32790,33529,34756,35729,36598,37423,38257,38839,39216,40320,40983,41180,42333,43269,44253,45184,46144,46967,47848,48994,50144,50947,51687,52774,53863,54702,55762,57314,59272,60158,61288,62492,63030,63802,64550,64981,65114,65798,66869,67991,69914,69933,71344,72592,73432,74537
2,65409,22452,23662,24542,25982,26587,27117,28160,28926,29638,30664,31792,32902,33665,34875,35854,36710,37544,38370,38987,39370,40455,41101,41317,42441,43402,44352,45309,46240,47103,47983,49112,50237,51049,51781,52870,53947,54797,55855,57404,59376,60261,61417,62609,63148,63917,64660,65121,65250,65946,67012,68131,69989,70064,71421,72701,73529,74654
3,65141,22551,23792,24662,26121,26742,27265,28275,29048,29764,30806,31920,33039,33826,35018,36003,36845,37688,38508,39164,39553,40617,41238,41475,42573,43565,44468,45460,46353,47270,48145,49257,50348,51168,51891,52988,54051,54911,55969,57520,59509,60382,61576,62753,63286,64055,64792,65283,65405,66123,67182,68299,70085,70209,71518,72839,73643,74796
4,65431,22603,23871,24752,26213,26854,27377,28360,29136,29855,30899,32011,33141,33943,35126,36109,36945,37793,38606,39284,39684,40729,41340,41592,42671,43675,44560,45561,46444,47386,48266,49364,50442,51253,51977,53067,54129,54996,56053,57604,59600,60477,61684,62859,63392,64155,64888,65395,65525,66245,67304,68420,70154,70321,71591,72933,73732,74891
5,67591,22726,24034,24898,26391,27034,27550,28497,29281,30000,31070,32168,33316,34135,35304,36291,37107,37968,38769,39490,39896,40923,41501,41772,42831,43870,44700,45746,46581,47589,48463,49545,50582,51395,52107,53214,54257,55134,56195,57755,59774,60623,61884,63038,63556,64314,65044,65580,65702,66450,67513,68629,70272,70481,71714,73110,73869,75071
6,67411,22824,24174,25028,26545,27192,27703,28621,29410,30133,31220,32309,33472,34305,35463,36449,37254,38120,38915,39666,40084,41093,41641,41933,42976,44038,44830,45906,46708,47767,48639,49704,50712,51520,52227,53345,54376,55260,56323,57890,59924,60758,62057,63195,63701,64459,65182,65740,65862,66629,67695,68811,70378,70623,71827,73264,73995,75225
7,67441,22900,24291,25144,26671,27332,27841,28733,29525,30251,31353,32433,33611,34451,35607,36587,37383,38254,39038,39812,40244,41240,41768,42073,43103,44182,44948,46044,46824,47918,48789,49845,50830,51635,52335,53460,54486,55375,56441,58012,60059,60878,62206,63329,63830,64586,65301,65877,66002,66780,67854,68968,70477,70749,71931,73395,74107,75352
8,67611,23090,24523,25336,26913,27561,28066,28915,29720,30448,31593,32656,33843,34698,35850,36833,37595,38484,39253,40079,40518,41504,41974,42297,43326,44443,45133,46291,47005,48193,49044,50085,51014,51827,52510,53665,54659,55569,56637,58229,60313,61077,62480,63564,64036,64795,65498,66108,66218,67048,68132,69245,70643,70944,72104,73634,74284,75589
9,67601,23245,24706,25504,27115,27750,28252,29071,29889,30617,31791,32846,34040,34905,36052,37035,37771,38672,39434,40298,40742,41722,42147,42483,43513,44659,45295,46488,47164,48414,49256,50286,51176,51994,52667,53839,54813,55737,56804,58414,60521,61251,62699,63758,64209,64973,65666,66294,66399,67262,68357,69475,70792,71109,72255,73819,74439,75774
10,67629,23395,24917,25694,27351,27966,28462,29248,30078,30807,32018,33064,34260,35139,36284,37268,37972,38894,39642,40547,40993,41970,42342,42690,43725,44903,45476,46718,47345,48670,49498,50513,51356,52180,52845,54046,54985,55927,56999,58631,60762,61446,62949,63983,64407,65173,65858,66508,66600,67505,68612,69737,70964,71296,72432,74041,74614,75991
11,64621,23484,25047,25835,27504,28114,28611,29380,30215,30944,32176,33221,34419,35304,36449,37429,38117,39048,39792,40711,41164,42134,42488,42843,43873,45064,45615,46870,47483,48837,49666,50670,51493,52315,52978,54189,55116,56062,57143,58789,60924,61592,63113,64139,64550,65315,65994,66654,66745,67667,68781,69918,71096,71438,72566,74187,74747,76126
12,64461,23564,25178,25979,27657,28262,28759,29514,30350,31086,32337,33379,34577,35472,36614,37591,38261,39199,39940,40873,41336,42300,42633,42994,44023,45224,45756,47023,47624,49006,49830,50821,51631,52446,53109,54334,55245,56197,57289,58950,61087,61741,63275,64294,64692,65459,66128,66797,66890,67826,68948,70099,71227,71578,72698,74331,74880,76262
13,66499,23650,25310,26124,27817,28407,28906,29649,30486,31227,32504,33543,34745,35644,36781,37757,38412,39355,40091,41039,41508,42469,42780,43144,44175,45385,45899,47183,47764,49176,49993,50981,51769,52583,53246,54481,55376,56335,57438,59117,61257,61890,63442,64453,64834,65603,66267,66939,67036,67989,69118,70281,71356,71715,72831,74471,75015,76399
14,66489,23782,25500,26306,28033,28604,29095,29821,30668,31408,32727,33754,34964,35869,36998,37976,38603,39562,40289,41269,41733,42694,42966,43334,44375,45604,46075,47396,47936,49410,50208,51192,51946,52761,53418,54676,55543,56512,57629,59336,61483,62073,63674,64663,65014,65790,66447,67132,67221,68214,69347,70521,71515,71882,72999,74665,75179,76590
15,64119,23934,25697,26494,28260,28805,29290,29999,30858,31598,32970,33976,35197,36102,37227,38206,38804,39779,40496,41503,41961,42930,43157,43529,44581,45834,46254,47621,48118,49652,50435,51411,52127,52948,53592,54873,55716,56699,57827,59559,61719,62261,63914,64881,65198,65980,66633,67330,67412,68445,69579,70761,71678,72050,73174,74862,75344,76787
16,64109,24078,25899,26688,28497,29011,29490,30183,31054,31790,33211,34208,35432,36345,37468,38444,39012,39997,40707,41746,42192,43167,43351,43725,44795,46073,46439,47850,48301,49900,50664,51635,52313,53135,53772,55072,55894,56889,58025,59786,61958,62458,64166,65104,65386,66175,66823,67533,67624,68677,69813,71002,71847,72219,73349,75063,75513,76986
17,63219,24194,26075,26866,28708,29199,29673,30354,31235,31969,33427,34421,35646,36569,37687,38667,39212,40199,40902,41966,42403,43384,43528,43903,44994,46286,46612,48058,48471,50123,50870,51841,52484,53306,53937,55256,56060,57065,58205,59994,62171,62648,64395,65308,65558,66352,66995,67713,67812,68879,70021,71214,72004,72376,73508,75244,75669,77155
18,63209,24277,26223,27025,28889,29364,29833,30509,31394,32135,33617,34610,35834,36768,37882,38863,39389,40377,41076,42156,42586,43575,43686,44065,45176,46473,46772,48243,48626,50319,51051,52026,52641,53459,54087,55417,56212,57223,58363,60178,62358,62825,64594,65488,65711,66509,67150,67874,67976,69054,70198,71396,72147,72516,73651,75398,75810,77298
19,63199,24384,26402,27202,29097,29553,30015,30681,31569,32318,33832,34823,36048,36991,38101,39085,39598,40579,41273,42377,42798,43796,43912,44250,45380,46689,46948,48454,48797,50549,51260,52235,52815,53629,54252,55599,56381,57399,58542,60384,62571,63026,64824,65692,65882,66687,67323,68058,68163,69258,70406,71610,72307,72675,73811,75580,75968,77471
