,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,65009,22266,23445,24354,25738,26350,26906,27980,28734,29456,30430,31588,32669,33397,34627,35611,36508,37322,38168,38715,39102,40197,40902,41096,42230,43137,44177,45056,46066,46829,47719,48878,50051,50862,51625,52683,53779,54622,55669,57201,59120,60070,61138,62375,62949,63701,64466,64875,65024,65669,66720,67845,69810,69863,71260,72456,73361,74408
1,65259,22341,23530,24445,25828,26438,27015,28072,28835,29582,30525,31661,32774,33541,34716,35707,36631,37400,38291,38788,39226,40310,40965,41158,42319,43216,44275,45170,46187,46909,47792,48967,50130,50970,51699,52760,53896,54686,55808,57304,59259,60206,61274,62457,63032,63799,64584,64947,65107,65755,66832,67946,69946,69969,71415,72566,73455,74531
2,65409,22388,23603,24512,25882,26502,27105,28130,28900,29673,30598,31715,32830,33632,34762,35761,36715,37469,38378,38857,39330,40392,41025,41219,42373,43265,44335,45240,46257,46971,47845,49018,50180,51040,51755,52812,53973,54733,55891,57367,59330,60271,61337,62506,63086,63864,64667,65011,65182,65822,66888,67992,70053,70075,71495,72627,73509,74608
3,65141,22451,23693,24601,25955,26584,27222,28208,28997,29805,30696,31786,32906,33764,34835,35834,36827,37558,38493,38946,39467,40511,41105,41300,42445,43330,44415,45333,46349,47054,47915,49087,50247,51133,51842,52881,54075,54806,56001,57449,59420,60356,61419,62571,63170,63961,64787,65095,65281,65908,66961,68054,70186,70218,71600,72708,73590,74710
4,65431,22489,23748,24664,26006,26636,27291,28262,29056,29882,30757,31834,32989,33846,34906,35891,36892,37615,38562,39009,39549,40582,41159,41355,42502,43369,44465,45392,46413,47108,47978,49151,50305,51186,51895,52931,54148,54854,56081,57539,59511,60412,61482,62613,63223,64017,64858,65148,65346,65966,67023,68110,70274,70294,71665,72770,73653,74798
5,67591,22568,23853,24774,26096,26741,27440,28376,29180,30050,30883,31934,33093,34012,35004,35994,37031,37731,38718,39127,39722,40736,41258,41459,42591,43461,44564,45522,46543,47215,48080,49236,50389,51303,52007,53028,54275,54951,56218,57653,59610,60534,61602,62703,63330,64140,65010,65248,65474,66077,67128,68200,70433,70451,71810,72887,73759,74925
6,67411,22631,23938,24863,26169,26836,27568,28479,29290,30194,30997,32025,33188,34155,35096,36089,37159,37837,38852,39235,39870,40869,41343,41555,42680,43546,44659,45635,46657,47315,48174,49321,50468,51412,52108,53117,54389,55040,56341,57750,59689,60642,61707,62785,63428,64250,65135,65334,65590,66179,67222,68281,70563,70589,71934,72991,73856,75028
7,67441,22688,24003,24944,26237,26921,27675,28570,29386,30316,31099,32108,33268,34274,35181,36172,37265,37931,38957,39326,39994,40984,41414,41644,42756,43623,44741,45731,46756,47405,48258,49395,50540,51505,52198,53196,54484,55125,56441,57837,59773,60735,61800,62861,63515,64345,65234,65405,65692,66271,67308,68355,70672,70722,72040,73084,73942,75114
8,67611,22806,24140,25115,26381,27081,27891,28744,29576,30565,31291,32269,33431,34518,35335,36334,37490,38107,39175,39487,40241,41206,41547,41801,42916,43771,44906,45924,46951,47569,48417,49543,50682,51698,52369,53350,54684,55275,56656,58020,59949,60920,61977,63005,63678,64533,65453,65539,65881,66437,67469,68496,70918,70956,72256,73262,74104,75316
9,67601,22900,24255,25254,26522,27210,28068,28898,29731,30756,31464,32412,33574,34718,35478,36476,37659,38263,39338,39618,40441,41373,41653,41943,43053,43905,45047,46086,47107,47718,48559,49675,50809,51851,52521,53489,54840,55413,56828,58170,60090,61077,62130,63132,63822,64689,65609,65646,66028,66585,67610,68623,71096,71167,72434,73417,74246,75459
10,67629,23003,24369,25426,26664,27359,28272,29068,29909,30973,31670,32586,33737,34949,35649,36651,37871,38444,39558,39770,40665,41567,41776,42111,43220,44067,45221,46284,47296,47896,48730,49837,50965,52025,52703,53658,55018,55580,57042,58354,60251,61266,62316,63276,63983,64867,65807,65809,66194,66763,67780,68777,71334,71377,72652,73601,74418,75663
11,64621,23068,24446,25542,26753,27458,28394,29184,30027,31100,31819,32722,33852,35086,35789,36777,37985,38570,39669,39874,40796,41680,41853,42246,43341,44195,45339,46408,47406,48017,48863,49962,51078,52131,52843,53790,55122,55716,57188,58491,60359,61396,62455,63374,64093,64981,65908,65930,66300,66903,67912,68900,71441,71528,72786,73721,74551,75754
12,64461,23120,24514,25663,26842,27557,28511,29297,30142,31227,31958,32864,33968,35217,35920,36902,38098,38695,39781,39977,40928,41790,41932,42386,43454,44330,45453,46530,47517,48136,49002,50095,51189,52234,52970,53929,55224,55859,57339,58636,60463,61519,62593,63471,64199,65094,66010,66045,66405,67031,68046,69031,71556,71674,72917,73836,74679,75847
13,66499,23177,24606,25787,26929,27654,28627,29408,30261,31363,32092,32996,34082,35374,36049,37026,38218,38820,39894,40080,41061,41901,42009,42516,43564,44458,45565,46651,47629,48249,49135,50229,51298,52349,53091,54062,55328,55995,57485,58786,60571,61641,62720,63567,64304,65207,66126,66155,66509,67154,68168,69167,71668,71815,73046,73947,74803,75940
14,66489,23279,24729,25955,27052,27788,28794,29561,30425,31562,32266,33163,34236,35567,36203,37183,38390,38984,40068,40222,41255,42067,42120,42672,43707,44612,45718,46818,47787,48392,49294,50386,51440,52501,53245,54224,55486,56157,57680,58985,60719,61803,62883,63696,64443,65362,66291,66341,66656,67307,68323,69340,71858,71998,73224,74097,74960,76085
15,64119,23385,24841,26112,27176,27926,28961,29716,30596,31785,32440,33338,34426,35823,36363,37351,38602,39153,40263,40365,41466,42236,42236,42825,43875,44766,45878,47006,47956,48537,49452,50550,51589,52665,53404,54389,55662,56320,57873,59196,60870,61966,63045,63823,64588,65523,66476,66514,66805,67460,68476,69523,72075,72180,73399,74248,75117,76232
16,64109,23484,24949,26264,27305,28067,29160,29875,30774,31990,32618,33508,34595,36019,36531,37538,38843,39323,40467,40512,41667,42407,42449,42981,44022,44922,46038,47177,48122,48682,49608,50706,51737,52825,53565,54555,55847,56485,58070,59414,61024,62142,63205,63958,64738,65685,66649,66688,66954,67610,68625,69720,72243,72361,73574,74401,75273,76379
17,63219,23559,25046,26392,27417,28194,29309,30018,30930,32165,32774,33661,34747,36186,36689,37693,39006,39478,40630,40683,41841,42555,42607,43122,44155,45062,46184,47331,48266,48816,49748,50845,51874,52964,53707,54705,55988,56639,58230,59603,61160,62285,63344,64081,64870,65827,66796,66835,67088,67745,68755,69909,72396,72521,73726,74535,75412,76499
18,63209,23619,25115,26493,27512,28304,29426,30141,31062,32309,32912,33794,34879,36322,36829,37829,39141,39617,40767,40829,41985,42680,42735,43248,44276,45187,46310,47460,48391,48939,49872,50966,51995,53080,53829,54835,56106,56774,58363,59763,61275,62404,63459,64187,64980,65947,66916,66956,67203,67862,68868,70080,72499,72657,73849,74651,75533,76594
