,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean65009,headway_mean65259,headway_mean65409,headway_mean65141,headway_mean65431,headway_mean67591,headway_mean67411,headway_mean67441,headway_mean67611,headway_mean67601,headway_mean67629,headway_mean64621,headway_mean64461,headway_mean66499,headway_mean66489,headway_mean64119,headway_mean64109,headway_mean63219,headway_mean63209,headway_mean63199,headway_mean63189,headway_mean63179,headway_mean63369,headway_mean66379,headway_mean66359,headway_mean62141,headway_mean62059,headway_mean62049,headway_mean62039,headway_mean62029,headway_mean62019,headway_mean70309,headway_mean70299,headway_mean70289,headway_mean70279,headway_mean70269,headway_mean70259,headway_mean81101,headway_mean81111,headway_mean82119,headway_mean82099,headway_mean82089,headway_mean82079,headway_mean92169,headway_mean92249,headway_mean92041,headway_mean92051,headway_mean92061,headway_mean92071,headway_mean92081,headway_mean93011,headway_mean93021,headway_mean93031,headway_mean93041,headway_mean93139,headway_mean94011,headway_mean94021,headway_mean94031,headway_mean94041,headway_mean94051,headway_mean94061,headway_var65009,headway_var65259,headway_var65409,headway_var65141,headway_var65431,headway_var67591,headway_var67411,headway_var67441,headway_var67611,headway_var67601,headway_var67629,headway_var64621,headway_var64461,headway_var66499,headway_var66489,headway_var64119,headway_var64109,headway_var63219,headway_var63209,headway_var63199,headway_var63189,headway_var63179,headway_var63369,headway_var66379,headway_var66359,headway_var62141,headway_var62059,headway_var62049,headway_var62039,headway_var62029,headway_var62019,headway_var70309,headway_var70299,headway_var70289,headway_var70279,headway_var70269,headway_var70259,headway_var81101,headway_var81111,headway_var82119,headway_var82099,headway_var82089,headway_var82079,headway_var92169,headway_var92249,headway_var92041,headway_var92051,headway_var92061,headway_var92071,headway_var92081,headway_var93011,headway_var93021,headway_var93031,headway_var93041,headway_var93139,headway_var94011,headway_var94021,headway_var94031,headway_var94041,headway_var94051,headway_var94061
0,123,0.0,0.0,-0.9596195,-0.9161670448939334,-0.043452535,38.016642042505076,-0.21855795,654.2286550318738,1695.2104713136168,1195.217577594315,9.912508686045456,931.1071428571429,932.5892857142857,933.6607142857143,934.9464285714286,935.5714285714286,937.1071428571429,938.3928571428571,939.25,941.2142857142857,942.6071428571429,944.2678571428571,944.875,945.7857142857143,946.5357142857143,947.9821428571429,949.1964285714286,950.3928571428571,951.4107142857143,952.2857142857143,953.4642857142857,954.4821428571429,955.2857142857143,956.5357142857143,957.6071428571429,958.5714285714286,959.3214285714286,960.5357142857143,961.7142857142857,962.4464285714286,963.7321428571429,964.5178571428571,965.5714285714286,966.3035714285714,967.2678571428571,968.75,969.8214285714286,971.2857142857143,972.6071428571429,973.6071428571429,974.625,975.8035714285714,976.5357142857143,977.5714285714286,978.8214285714286,981.0714285714286,982.7857142857143,983.7321428571429,984.8214285714286,986.2857142857143,987.25,988.4642857142857,989.6785714285714,990.9285714285714,992.3214285714286,993.4285714285714,994.5535714285714,995.8928571428571,996.9464285714286,998.2678571428571,999.5535714285714,1001.1607142857143,125138.09566326531,131790.52774234695,133740.5455994898,136851.19355867346,140127.7806122449,146994.91709183672,153060.80994897962,158747.6875,178941.63265306124,195718.80994897962,216663.08896683675,218307.8950892857,217667.41836734695,221644.21301020408,234530.5175382653,257224.58641581636,280306.48852040817,291583.3848852041,293720.0255102041,300562.6415816326,301318.78539540817,297639.70408163266,304541.9272959183,311378.02423469385,311950.0306122449,341446.43239795923,345340.0344387755,355132.88265306124,349590.6399872449,356692.05325255106,352370.5711096939,354357.9948979592,351122.5328443878,353319.7675382653,366426.6160714286,368495.9681122449,382292.4183673469,388570.3099489796,390119.16709183675,401671.94866071426,411542.372130102,407708.2844387755,408957.4591836735,415636.3609693878,448341.74489795923,462061.7755102041,477411.8746811224,476396.50382653065,482908.23979591846,480009.33035714284,483520.1772959184,487963.18239795923,493395.2091836735,504336.2895408163,506953.5306122449,510513.74713010207,519155.52423469396,521784.5864158164,529729.2675382653,536649.8899872449,549143.7777423469
0,184,0.0,0.0,-0.7653567,-0.7216094343514908,-0.043747324,38.25758768519966,-0.21994318,598.7357368753953,1675.3289057558507,1132.822770398482,7.949290497787588,931.1071428571429,931.6785714285714,932.3035714285714,933.0178571428571,933.2142857142857,933.9821428571429,934.6607142857143,935.1607142857143,936.0178571428571,936.4464285714286,937.1964285714286,937.6785714285714,938.1607142857143,938.375,938.9642857142857,939.4107142857143,939.7678571428571,940.2678571428571,940.6964285714286,941.3214285714286,941.8035714285714,942.3035714285714,942.9821428571429,943.4642857142857,943.9107142857143,944.2321428571429,944.8214285714286,945.2142857142857,945.6428571428571,946.25,946.7321428571429,947.2857142857143,947.7142857142857,948.1785714285714,948.875,949.4107142857143,950.1071428571429,950.6964285714286,951.2321428571429,951.625,952.1607142857143,952.4821428571429,952.9821428571429,953.5535714285714,954.4642857142857,955.1785714285714,955.5892857142857,956.125,956.8392857142857,957.3928571428571,958.0535714285714,958.6964285714286,959.3928571428571,960.125,960.7857142857143,961.4464285714286,962.1964285714286,962.7857142857143,963.5,964.2321428571429,965.0892857142857,125138.09566326531,131262.86096938775,133327.6042729592,137162.91039540814,139332.91836734695,146627.66039540814,153757.18845663266,159423.95631377553,174697.87468112246,185727.42570153062,198537.94355867346,197523.46811224488,194487.81345663266,192991.05580357142,199033.42729591837,218650.31345663266,233451.0353954082,235113.80325255104,233610.78284438775,233916.2181122449,232029.40784438775,226598.9257015306,229679.12468112246,232843.71301020408,231864.33131377553,248824.3211096939,251518.36096938775,256473.88265306124,251944.76530612246,255709.54464285713,252169.87468112243,252889.20408163266,250310.70408163263,251506.7181122449,260330.00223214287,261652.6705994898,270424.84566326527,275054.63998724485,275899.5711096939,283224.84151785716,287666.7063137755,285327.2496811224,286049.9818239796,289773.497130102,309315.6415816326,319518.36096938775,327475.7063137755,331033.109375,338160.9920280612,338682.88137755106,343685.0864158163,349254.38998724485,355068.8456632653,361802.50223214284,364784.6326530612,368143.7114158164,375048.90784438775,376353.16836734687,380662.71428571426,386531.9996811225,396832.8670280612
0,400,0.0,0.0,-0.7926099,-0.7494334088690958,-0.04317648,37.774407317386746,-0.21716538,606.0855767126286,1640.4014007441453,1143.944626833005,9.21753639030183,931.1071428571429,931.2142857142857,931.6785714285714,932.1785714285714,932.4107142857143,932.9285714285714,933.4285714285714,933.6607142857143,934.2142857142857,934.3392857142857,934.875,935.0,935.3392857142857,935.5357142857143,935.7678571428571,935.8392857142857,935.9107142857143,936.1785714285714,936.4642857142857,936.8928571428571,937.2321428571429,937.6428571428571,938.1428571428571,938.5892857142857,938.9107142857143,938.9821428571429,939.375,939.6964285714286,939.9821428571429,940.375,940.7142857142857,941.1785714285714,941.5714285714286,941.9642857142857,942.4821428571429,942.9107142857143,943.3571428571429,943.7678571428571,944.1428571428571,944.4642857142857,944.8214285714286,945.1607142857143,945.5535714285714,945.8928571428571,946.4107142857143,946.6428571428571,946.8392857142857,947.2857142857143,947.6785714285714,947.9464285714286,948.3571428571429,948.8214285714286,949.2857142857143,949.625,950.0357142857143,950.5535714285714,951.0,951.5535714285714,952.0,952.5892857142857,953.125,125138.09566326531,131313.98979591837,131463.11096938775,133099.9323979592,134593.1705994898,139331.9948979592,144792.5306122449,149612.2955994898,165026.73979591837,174247.11702806124,187905.609375,185340.14285714287,181321.68845663266,180687.78443877547,187924.64253826533,209079.6705994898,227866.22417091837,235833.61096938775,239360.03443877553,244801.84566326533,245067.0711096939,242458.22959183672,248815.22959183672,255500.31345663263,253743.68845663266,280110.08896683675,283687.52008928574,291767.10427295923,287866.05325255106,293389.8058035714,291712.275510204,292014.7538265306,289319.74489795923,292494.6772959184,301801.7496811225,303726.18845663266,315998.05102040817,321948.7496811225,321293.22959183675,331734.9272959183,336380.2895408163,334229.81345663266,333664.3899872449,336561.3099489796,357957.1348852041,366382.97959183675,383836.17059948976,384748.16836734704,389626.32525510207,388139.6578443878,389351.3724489795,391898.68239795923,394893.52551020414,403767.12723214284,401521.8201530612,403012.35427295923,407543.0,408227.7828443878,411365.0,413356.42059948976,420671.32366071426
0,128,0.0,0.0,-0.75849533,-0.7161928020415067,-0.042302486,37.00996632722729,-0.2127706,629.2586489141111,1660.7563025210084,1146.789370293572,8.632230871931458,931.1071428571429,931.2321428571429,931.7321428571429,932.2321428571429,932.4464285714286,933.0,933.5357142857143,933.9464285714286,934.4464285714286,934.6785714285714,935.3571428571429,935.7142857142857,936.1071428571429,936.3571428571429,936.8035714285714,937.0892857142857,937.0535714285714,937.3035714285714,937.6428571428571,938.0714285714286,938.5357142857143,939.0,939.5,939.9642857142857,940.375,940.6964285714286,941.1607142857143,941.6071428571429,942.0357142857143,942.5535714285714,943.0535714285714,943.5,943.8214285714286,944.3214285714286,944.8571428571429,945.3035714285714,945.8214285714286,946.3035714285714,946.7857142857143,947.0892857142857,947.5,947.9285714285714,948.4285714285714,948.9821428571429,949.5714285714286,950.0178571428571,950.3928571428571,950.8928571428571,951.4464285714286,951.9107142857143,952.4821428571429,953.0178571428571,953.4821428571429,954.0714285714286,954.6071428571429,955.1607142857143,955.6785714285714,956.1964285714286,956.7678571428571,957.375,958.0178571428571,125138.09566326531,128806.07110969388,129923.05325255102,132599.3211096939,135469.6042729592,141875.57142857142,148797.14158163266,156226.30070153065,170815.3542729592,184061.39668367346,203380.22959183672,204005.1326530612,202903.2742346939,206155.01530612246,217100.65784438772,245673.50988520408,266374.7292729592,272462.13998724485,271811.40816326527,274238.2091836735,273757.82015306124,268561.28571428574,273837.14285714284,278958.2130102041,276783.734375,308132.5685586735,311909.1348852041,319759.9528061225,313607.64158163266,320181.9614158163,315716.1578443878,317485.10714285716,314205.7895408163,317414.7895408164,330221.5153061225,333183.6757015306,346497.8609693878,354432.247130102,357094.0255102041,368748.8313137755,378102.25,377024.3520408163,381180.9234693878,390456.83896683675,426743.137755102,444340.30325255106,464227.48852040817,472493.5242346939,486898.5685586735,489109.65274234704,498091.03539540817,507679.16039540817,517787.0711096939,534882.2091836735,540650.3099489795,546953.8848852041,558566.0038265305,564761.6578443878,576686.2853954082,590493.1272321428,607125.3032525509
0,449,0.0,0.0,-0.9248519,-0.8819871065206666,-0.04286481,37.50377766716436,-0.21560952,688.4038834951456,1640.0535367545076,1232.3521960240407,9.231844326563952,931.1071428571429,931.0535714285714,931.3035714285714,931.5357142857143,931.875,932.0357142857143,932.2321428571429,932.375,932.125,931.8571428571429,931.7678571428571,931.7857142857143,931.8571428571429,931.6964285714286,931.4107142857143,931.1607142857143,930.9107142857143,930.9464285714286,931.0178571428571,931.0357142857143,931.0535714285714,931.2857142857143,931.3571428571429,931.4642857142857,931.5178571428571,931.375,931.4821428571429,931.4285714285714,931.4464285714286,931.6071428571429,931.8571428571429,932.0535714285714,932.2321428571429,932.3035714285714,932.4107142857143,932.4464285714286,932.5,932.5892857142857,932.6607142857143,932.6071428571429,932.5892857142857,932.7142857142857,932.8928571428571,933.0535714285714,932.75,932.75,932.8392857142857,932.9285714285714,932.9285714285714,933.0,933.0357142857143,933.1964285714286,933.4107142857143,933.5892857142857,933.9285714285714,934.2678571428571,934.5535714285714,934.8928571428571,935.0714285714286,935.3035714285714,935.5357142857143,125138.09566326531,130446.01498724487,129942.81855867348,130581.32015306123,132845.96651785713,136374.14158163263,140353.49968112243,143778.09151785713,154882.46651785713,165261.15816326533,180406.3568239796,178398.5612244898,176298.693877551,177644.06855867343,190782.63488520408,212198.49202806124,232376.2241709184,238566.2649872449,239463.6603954082,244329.17729591837,245234.122130102,242359.59693877553,248246.51530612246,256754.71301020408,255533.71396683675,277890.6629464286,281095.678252551,288877.7448979592,282050.8185586735,284652.66709183675,279310.6224489796,277810.9435586735,273292.6068239796,273166.9257015306,281136.4563137755,281255.0685586735,289181.10714285716,291688.9205994898,290149.7598852041,301737.7742346939,308078.42059948976,303875.45408163266,302060.98852040817,304268.47927295923,328459.90178571426,337010.15178571426,352724.6348852041,350137.78061224485,352591.4948979592,347423.14285714284,346958.0701530612,347093.1578443878,348340.02774234687,354188.8848852041,350602.67346938775,348657.80325255106,350645.0685586735,349463.88137755106,349486.13775510207,349550.0328443878,352545.89158163266
0,184,0.0,0.0,-0.6941001,-0.6502349774947371,-0.04386512,38.364820488026545,-0.22055966,573.5276979357199,1645.140972040763,1103.5205121505096,7.738568922609988,931.1071428571429,931.3214285714286,931.8392857142857,932.4107142857143,932.8214285714286,933.4107142857143,933.9821428571429,934.4285714285714,935.0357142857143,935.4107142857143,936.1428571428571,936.4107142857143,936.8571428571429,937.2321428571429,937.6964285714286,938.0,938.3214285714286,938.75,938.9285714285714,939.3571428571429,939.7142857142857,940.1071428571429,940.6071428571429,941.0714285714286,941.4642857142857,941.4821428571429,941.8928571428571,942.4285714285714,942.875,943.3928571428571,943.8035714285714,944.3035714285714,944.6607142857143,945.1071428571429,945.6428571428571,945.9821428571429,946.5714285714286,947.0714285714286,947.5,947.9285714285714,948.3035714285714,948.6964285714286,949.0892857142857,949.5892857142857,950.2321428571429,950.8571428571429,951.25,951.6785714285714,952.1785714285714,952.6607142857143,953.1607142857143,953.5714285714286,954.0535714285714,954.625,955.2321428571429,955.8392857142857,956.4821428571429,957.0178571428571,957.5892857142857,958.1964285714286,958.8928571428571,125138.09566326531,129067.9681122449,130186.81345663265,133161.20631377553,134973.07525510204,140857.38488520408,145975.0175382653,150713.06632653062,163965.53443877553,171649.88488520408,181702.76530612243,179605.70631377553,176868.26530612246,175380.92825255104,179389.24713010207,191977.25,205077.25382653062,210172.9375,208941.35204081633,212893.33673469388,212297.02551020408,208864.8456632653,213955.88137755104,218999.06632653065,220410.96301020408,232638.07110969388,237455.59566326533,245108.4948979592,242722.18080357142,250036.7385204082,248115.122130102,250836.1399872449,249577.18845663266,253702.5599489796,265860.3010204082,269052.26753826527,281773.38775510207,289791.67346938775,292675.6785714286,302815.4234693878,309799.5328443878,307783.4614158164,310056.5813137755,317005.27774234687,345065.28539540805,359630.90816326527,372218.47321428574,377171.25382653065,386870.61096938764,388558.3670280612,395744.74202806124,402360.7806122448,410550.05070153065,424228.4129464286,429334.71396683675,434913.49202806124,445048.92825255106,450636.66039540817,460871.52774234687,470317.15784438775,483358.73852040817
0,119,0.0,0.0,-0.7375148,-0.6937192460528092,-0.043795515,38.29390685888142,-0.22015198,572.3610769441028,1670.096897635643,1109.2454557878912,8.282426595735782,931.1071428571429,930.4642857142857,930.2857142857143,929.9285714285714,929.8035714285714,929.2321428571429,928.8392857142857,928.5357142857143,927.3571428571429,926.4642857142857,925.625,925.0535714285714,924.5357142857143,924.0714285714286,923.375,922.375,921.5,920.875,920.5892857142857,920.1071428571429,919.8214285714286,919.75,919.3214285714286,918.8928571428571,918.5535714285714,918.125,917.7857142857143,917.375,917.3035714285714,916.875,916.7678571428571,916.5535714285714,916.5892857142857,916.3392857142857,915.6785714285714,915.4107142857143,914.8214285714286,914.4107142857143,914.1785714285714,913.5,912.8571428571429,912.8214285714286,912.6071428571429,912.1964285714286,910.7142857142857,909.9464285714286,909.2857142857143,908.7857142857143,908.1964285714286,908.0178571428571,907.5714285714286,907.1428571428571,906.6428571428571,906.0357142857143,905.9107142857143,905.75,905.4464285714286,905.25,904.8571428571429,904.5535714285714,904.0892857142857,125138.09566326531,129415.28443877552,130689.38265306123,133750.42346938775,135305.80070153062,141642.24968112243,147870.88488520408,153271.42729591837,168823.83673469388,178446.07015306124,189347.0200892857,185989.37213010204,181514.9987244898,180258.45918367346,185342.234375,200505.1986607143,209798.2142857143,211600.6450892857,209577.20631377547,211557.77423469388,209497.4323979592,204209.4732142857,208080.89668367343,212009.13137755104,209020.06855867343,225731.68080357142,227180.98979591837,230185.9486607143,225525.8542729592,227994.71651785713,222785.14253826533,222131.60427295914,218294.9205994898,217852.2955994898,224263.93239795923,223956.34917091837,230190.575255102,232415.99202806124,231391.89668367343,236038.7857142857,238802.90816326533,234091.2538265306,231786.8099489796,232920.69355867346,250496.88265306124,258814.97927295923,267907.2755102041,267651.3469387755,270792.9435586735,267635.3746811225,268204.17346938775,269147.6581632653,270511.55102040817,276611.32015306124,275718.6527423469,275421.40178571426,278204.3185586735,277113.6875,279496.94387755106,279869.7114158163,283593.5098852041
0,499,0.0,0.0,-0.9435099,-0.9009083681782626,-0.04260155,37.28113727498267,-0.21432957,712.6412242231968,1619.3319025846786,1250.6924512456844,9.630054454512154,931.1071428571429,931.4464285714286,932.0357142857143,932.6607142857143,933.1071428571429,933.7857142857143,934.4107142857143,934.9464285714286,935.6428571428571,936.125,936.75,937.1071428571429,937.5178571428571,937.875,938.3035714285714,938.875,939.1071428571429,939.4821428571429,939.75,940.1785714285714,940.5535714285714,941.0357142857143,941.6428571428571,942.2321428571429,942.7321428571429,942.9107142857143,943.4821428571429,944.0357142857143,944.5357142857143,945.125,945.5714285714286,946.1607142857143,946.6785714285714,947.0357142857143,947.7142857142857,948.1607142857143,948.8928571428571,949.5178571428571,949.9821428571429,950.5357142857143,951.0535714285714,951.4464285714286,951.9821428571429,952.6428571428571,953.3928571428571,954.0357142857143,954.4107142857143,955.0,955.6964285714286,956.2321428571429,956.9464285714286,957.5714285714286,958.1428571428571,958.9107142857143,959.5357142857143,960.1964285714286,960.9107142857143,961.5535714285714,962.2321428571429,962.9642857142857,963.6964285714286,125138.09566326531,131952.49713010204,132459.2487244898,134682.2955994898,137380.70280612246,142902.91836734692,148659.27774234695,154264.94355867346,170922.12244897962,183719.859375,199188.9732142857,199564.41709183672,196047.8211096939,198266.68080357142,208633.7114158163,236797.109375,249906.34566326533,258869.46396683672,259696.79464285713,267907.64668367343,268395.13998724485,267342.7844387755,276262.9081632653,285302.0711096939,290180.2318239796,310064.33131377544,315563.42825255106,330900.1772959184,326871.1772959184,333874.109375,330282.637755102,332817.6348852041,330646.0395408163,333947.07015306124,347668.06122448976,350837.884885204,365367.0599489796,372906.53539540817,374821.4818239795,389072.14158163266,404542.2649872449,401824.60427295923,404602.80325255095,411099.2653061225,441619.4528061225,454811.6415816327,476898.634885204,482208.53571428574,492539.49713010207,493135.9639668367,501049.3007015306,508115.7806122449,513109.3367346939,525594.3313137756,526907.8201530612,529272.4078443878,535645.0813137755,537850.2114158163,543934.8568239796,549691.0344387755,561068.1399872449
0,145,0.0,0.0,-0.80545866,-0.7633021154278412,-0.042156544,36.872284270718005,-0.21197906,609.9748458096504,1718.6512274761155,1114.23328092877,9.296903461797555,931.1071428571429,931.25,931.4821428571429,931.6785714285714,931.5357142857143,931.6785714285714,931.875,932.0,931.8035714285714,931.5714285714286,931.5535714285714,931.5357142857143,931.5357142857143,931.25,931.2321428571429,931.0535714285714,931.0357142857143,931.0714285714286,931.2142857142857,931.375,931.4107142857143,931.6428571428571,931.8392857142857,932.0,932.0357142857143,932.0,932.1071428571429,932.1964285714286,932.3928571428571,932.6071428571429,932.9107142857143,933.0892857142857,933.3214285714286,933.3928571428571,933.4464285714286,933.5357142857143,933.6428571428571,933.75,933.9464285714286,933.9285714285714,933.8392857142857,934.0178571428571,934.1428571428571,934.1964285714286,934.125,934.0714285714286,934.0535714285714,934.1607142857143,934.2142857142857,934.4821428571429,934.7678571428571,935.0535714285714,935.3214285714286,935.4642857142857,935.7321428571429,936.0714285714286,936.3928571428571,936.6964285714286,937.0,937.3035714285714,937.5357142857143,125138.09566326531,130930.65178571429,133669.8568239796,138862.32525510204,142295.42729591837,152181.14668367346,162185.859375,170276.42857142858,193612.622130102,209166.17346938775,228725.6757015306,228969.42729591837,228453.21301020408,230301.33035714287,241457.85682397962,266520.51498724485,289445.7844387755,294486.2091836735,289724.9540816326,290936.234375,286296.5634566327,276288.3724489796,278643.1348852041,279694.39285714284,273451.4987244898,289489.85714285716,287698.4528061224,288083.0864158164,277853.3099489796,277225.2028061225,268842.5455994898,265382.5455994898,258488.25382653062,256324.80994897962,263089.71141581633,261452.7487244898,268775.8724489796,272081.6160714286,271241.65784438775,276702.5663265306,281318.56345663266,276725.3746811224,276578.30102040817,280998.8364158164,305157.07366071426,313904.2091836735,323021.44355867343,326145.3848852041,333810.9897959184,332287.92825255106,337022.78539540817,343730.5507015306,349185.3966836735,360874.6415816326,364068.08896683675,368232.38775510207,376617.91709183675,377341.0328443878,384120.71428571426,390934.74713010207,402113.8201530613
