,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,65009,22266,23445,24354,25738,26350,26906,27980,28734,29456,30430,31588,32669,33397,34627,35611,36508,37322,38168,38715,39102,40197,40902,41096,42230,43137,44177,45056,46066,46829,47719,48878,50051,50862,51625,52683,53779,54622,55669,57201,59120,60070,61138,62375,62949,63701,64466,64875,65024,65669,66720,67845,69810,69863,71260,72456,73361,74408
1,65259,22358,23568,24433,25859,26423,26974,28063,28825,29541,30545,31679,32755,33505,34735,35694,36631,37400,38255,38836,39194,40278,41004,41186,42339,43218,44294,45139,46173,46939,47822,48967,50188,50939,51700,52807,53869,54695,55757,57297,59266,60192,61238,62517,63049,63822,64584,64959,65106,65793,66812,67952,69934,69950,71382,72587,73449,74529
2,65409,22423,23657,24498,25925,26484,27036,28126,28895,29611,30636,31753,32816,33593,34816,35765,36733,37468,38324,38936,39272,40348,41090,41268,42421,43287,44374,45202,46245,47022,47898,49032,50288,51003,51759,52899,53936,54753,55824,57358,59346,60271,61307,62618,63131,63919,64674,65026,65177,65884,66874,68027,70001,70031,71473,72680,73513,74603
3,65141,22510,23773,24583,26010,26565,27119,28208,28988,29705,30756,31848,32895,33708,34922,35858,36867,37558,38413,39069,39375,40439,41202,41376,42528,43377,44478,45284,46339,47131,47997,49117,50418,51087,51836,53019,54025,54827,55910,57437,59450,60375,61397,62750,63238,64046,64792,65115,65271,66005,66957,68124,70085,70137,71591,72802,73597,74702
4,65431,22563,23841,24636,26067,26616,27170,28259,29044,29762,30826,31906,32964,33784,35011,35935,36944,37614,38467,39146,39440,40497,41266,41444,42606,43433,44540,45343,46396,47200,48058,49169,50513,51141,51884,53089,54087,54874,55965,57493,59542,60437,61457,62826,63304,64121,64862,65167,65332,66076,67024,68202,70136,70204,71660,72892,73651,74775
5,67591,22671,23985,24743,26172,26719,27274,28362,29161,29879,30976,32028,33064,33929,35146,36052,37112,37727,38580,39312,39571,40612,41403,41581,42742,43546,44670,45448,46514,47338,48182,49275,50677,51247,51981,53239,54198,54969,56073,57590,59671,60567,61571,62992,63441,64280,65012,65273,65452,66227,67128,68325,70237,70338,71809,73046,73758,74898
6,67411,22758,24108,24837,26263,26809,27366,28451,29261,29980,31103,32131,33152,34053,35261,36155,37253,37829,38677,39447,39688,40711,41516,41702,42857,43645,44781,45540,46615,47455,48290,49368,50815,51342,52067,53365,54296,55052,56166,57674,59782,60679,61669,63130,63560,64416,65135,65363,65558,66356,67220,68430,70322,70457,71934,73175,73853,74996
7,67441,22826,24207,24917,26340,26885,27443,28525,29346,30066,31206,32219,33227,34154,35355,36241,37367,37915,38759,39552,39787,40794,41604,41806,42953,43728,44873,45619,46699,47552,48381,49446,50926,51424,52140,53468,54378,55124,56243,57745,59873,60773,61752,63239,63662,64526,65231,65436,65649,66462,67298,68516,70393,70558,72035,73290,73935,75076
8,67611,22989,24409,25071,26488,27031,27591,28670,29510,30236,31425,32396,33393,34368,35551,36408,37602,38079,38918,39774,39975,40957,41807,42001,43144,43889,45056,45768,46865,47746,48558,49597,51154,51578,52278,53690,54538,55259,56394,57897,60072,60968,61913,63464,63857,64751,65430,65580,65819,66675,67447,68687,70557,70748,72246,73515,74089,75272
9,67601,23100,24564,25196,26603,27146,27711,28787,29642,30370,31594,32544,33511,34529,35703,36544,37789,38214,39041,39938,40128,41086,41955,42160,43319,44020,45206,45890,46995,47898,48700,49719,51351,51706,52392,53856,54668,55370,56515,58016,60228,61117,62043,63652,64010,64926,65574,65691,65953,66840,67569,68823,70663,70901,72407,73679,74216,75403
