,stop_id,stop_lat,stop_lon
0,65009,0,0
1,65259,0,0
2,65409,0,0
3,65141,0,0
4,65431,0,0
5,67591,0,0
6,67411,0,0
7,67441,0,0
8,67611,0,0
9,67601,0,0
10,67629,0,0
11,64621,0,0
12,64461,0,0
13,66499,0,0
14,66489,0,0
15,64119,0,0
16,64109,0,0
17,63219,0,0
18,63209,0,0
19,63199,0,0
20,63189,0,0
21,63179,0,0
22,63369,0,0
23,66379,0,0
24,66359,0,0
25,62141,0,0
26,62059,0,0
27,62049,0,0
28,62039,0,0
29,62029,0,0
30,62019,0,0
31,70309,0,0
32,70299,0,0
33,70289,0,0
34,70279,0,0
35,70269,0,0
36,70259,0,0
37,81101,0,0
38,81111,0,0
39,82119,0,0
40,82099,0,0
41,82089,0,0
42,82079,0,0
43,92169,0,0
44,92249,0,0
45,92041,0,0
46,92051,0,0
47,92061,0,0
48,92071,0,0
49,92081,0,0
50,93011,0,0
51,93021,0,0
52,93031,0,0
53,93041,0,0
54,93139,0,0
55,94011,0,0
56,94021,0,0
57,94031,0,0
58,94041,0,0
59,94051,0,0
60,94061,0,0
