,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,distilled,teacher_variance,headway_mean54009,headway_mean54339,headway_mean54329,headway_mean54319,headway_mean54101,headway_mean66091,headway_mean66031,headway_mean66041,headway_mean66051,headway_mean66379,headway_mean66359,headway_mean62141,headway_mean62059,headway_mean62049,headway_mean62039,headway_mean62029,headway_mean62019,headway_mean70309,headway_mean70299,headway_mean70289,headway_mean70279,headway_mean70269,headway_mean71161,headway_mean71151,headway_mean71141,headway_mean71121,headway_mean71131,headway_mean71091,headway_mean72021,headway_mean72061,headway_mean72071,headway_mean84499,headway_mean84489,headway_mean84461,headway_mean84471,headway_mean84621,headway_mean84611,headway_mean84631,headway_mean84601,headway_mean75341,headway_mean75061,headway_mean76289,headway_mean76129,headway_mean76119,headway_mean76051,headway_mean75009,headway_var54009,headway_var54339,headway_var54329,headway_var54319,headway_var54101,headway_var66091,headway_var66031,headway_var66041,headway_var66051,headway_var66379,headway_var66359,headway_var62141,headway_var62059,headway_var62049,headway_var62039,headway_var62029,headway_var62019,headway_var70309,headway_var70299,headway_var70289,headway_var70279,headway_var70269,headway_var71161,headway_var71151,headway_var71141,headway_var71121,headway_var71131,headway_var71091,headway_var72021,headway_var72061,headway_var72071,headway_var84499,headway_var84489,headway_var84461,headway_var84471,headway_var84621,headway_var84611,headway_var84631,headway_var84601,headway_var75341,headway_var75061,headway_var76289,headway_var76129,headway_var76119,headway_var76051,headway_var75009
0,867,2.4071042373262603,1.4497289118067973,-1.2394328097080158,-1.2136136237409316,-0.025819185967084053,6.450514454672823,0.12896670878246191,581.8988970588235,1297.3177083333333,792.8420649509804,9.430955766041858,0,0,874.551724137931,874.9655172413793,874.9137931034483,874.7586206896551,874.2413793103449,873.5172413793103,873.6551724137931,873.2413793103449,873.3620689655172,873.2068965517242,872.9137931034483,872.7241379310345,872.948275862069,872.6034482758621,872.7586206896551,872.5,872.6034482758621,872.5,872.448275862069,871.8965517241379,871.7586206896551,871.8275862068965,871.6896551724138,871.8448275862069,871.6379310344828,871.3793103448276,871.2068965517242,870.7758620689655,870.4827586206897,870.1551724137931,870.0689655172414,869.7413793103449,869.1551724137931,868.9655172413793,868.7068965517242,868.6551724137931,868.3448275862069,868.2068965517242,868.5344827586207,869.9310344827586,870.3620689655172,871.551724137931,872.2586206896551,873.1206896551724,873.5,874.551724137931,91471.86801426871,98853.75743162901,99102.00980975029,102019.73483947683,109458.11414982166,122141.42211652795,131456.12247324616,141005.32104637337,143029.29994054695,156885.75029726516,168766.49256837094,185654.33769322236,195795.2559453032,212896.13585017837,223019.11414982163,238040.3879310345,245970.1358501784,252606.3879310345,259798.55766944116,276774.64447086805,292188.2865636148,301684.2461355529,308216.1105826397,320845.33799048746,328315.6447681332,339955.8561236623,347991.577883472,372484.7256242568,388373.6290130796,405426.23454221163,428226.305588585,451256.57104637334,483637.6828180738,500223.0677764566,511855.2071938169,537624.6741973842,559282.3293697978,565048.9916765755,575334.3177764567,590427.6848989299,608962.7482164089,627166.9024970273,654532.1917360286,687361.7957788345,696931.4224137932,723754.2473246135
0,1953,3.308359646934202,1.2295089455685397,-1.5852567619215996,-1.5616789125080595,-0.023577849413540228,5.865040727870828,0.11725518038581778,770.3710883612865,1416.3617948159442,1100.9486676831482,15.906003004689737,0,0,874.551724137931,876.2413793103449,876.5689655172414,876.6551724137931,876.948275862069,877.6206896551724,877.9827586206897,878.3448275862069,878.6034482758621,878.3620689655172,878.4137931034483,878.6206896551724,879.1551724137931,879.2241379310345,879.448275862069,879.6206896551724,879.7931034482758,880.0172413793103,880.8103448275862,880.6034482758621,881.1379310344828,881.3793103448276,881.4137931034483,881.5862068965517,882.5689655172414,882.9137931034483,883.1724137931035,883.6034482758621,883.7068965517242,884.0172413793103,884.0862068965517,884.5344827586207,884.6896551724138,884.9827586206897,885.6896551724138,885.7068965517242,886.0689655172414,886.6206896551724,886.9827586206897,887.2413793103449,887.3620689655172,887.8103448275862,887.1551724137931,887.3448275862069,887.4827586206897,887.9655172413793,91471.86801426871,113082.07966706301,116483.96938168847,119119.12247324614,130974.01456599285,142952.23543400713,152720.7410820452,164075.67419738404,175830.7220570749,194327.61028537454,208954.48394768132,240293.47681331748,254356.99316290134,274515.8635552913,282553.31629013084,299238.0975029726,309866.7847800238,320836.5341854934,329879.53299643286,342049.96343638527,358383.1189060642,366618.23543400713,369808.5529131985,375442.93222354347,383909.6590368609,395037.9063614744,400171.3151010702,424280.79102259217,443561.5865041617,462887.396254459,481156.7339476814,501069.28329369804,543809.2829964327,558610.3272889417,570363.6967895362,610774.3451248512,632372.3055885851,631479.683709869,643810.8100475624,651653.7003567182,672249.1620095124,671378.9467895362,686317.0276456599,719647.9155766943,734076.5255648039,753140.8263971463
0,1688,4.220138164772385,1.1741522759541698,-1.7272484693240633,-1.7026695623970514,-0.024578906927011784,6.04601649993204,0.12253343711879638,695.2590337629478,1398.6087609709812,1003.9516090772515,17.316229820512266,0,0,874.551724137931,875.7068965517242,875.5344827586207,875.7413793103449,874.8793103448276,874.051724137931,873.7068965517242,873.1379310344828,872.8793103448276,872.2068965517242,872.0172413793103,871.448275862069,871.3103448275862,870.7068965517242,871.1206896551724,870.7068965517242,870.5172413793103,870.3965517241379,870.5862068965517,870.0172413793103,869.5,869.1896551724138,869.3448275862069,869.7758620689655,870.0344827586207,870.3793103448276,870.7758620689655,871.7413793103449,872.1034482758621,872.6724137931035,873.0172413793103,873.7413793103449,873.8275862068965,874.0689655172414,874.7241379310345,874.3965517241379,874.6724137931035,874.9137931034483,875.1896551724138,875.8448275862069,876.1206896551724,876.7586206896551,876.7413793103449,876.6206896551724,876.8103448275862,877.5689655172414,91471.86801426871,106739.37960760998,108266.07639714626,112786.64001189062,125671.72681331748,133941.3938763377,144418.0692627824,154792.32580261593,167479.69233055887,191289.43995243756,204403.98246135554,236534.86801426875,250870.24851367425,273449.5865041617,281803.9337098692,298190.89684898924,309069.6290130797,320288.2737812128,331850.3115338882,354752.5341854934,377524.525862069,397549.9123067776,415160.8121284185,432110.17390011897,448358.4126040428,462336.6837098692,471809.070451843,509878.08828775265,538641.3341260405,579122.7719976219,613968.1548751488,647948.3296670631,681448.3495838289,699793.1331747919,701335.3376932223,743023.2737812129,762927.1857907253,758767.1822235433,766498.9812722949,767935.0276456599,794345.7268133175,790500.1486325802,808538.8813912009,841036.0630202141,855799.6709274674,873093.3142092747
0,925,4.962427410586127,1.1092719571857617,-1.2951306990762865,-1.2662715659950838,-0.028859133081202484,7.228163160582114,0.14392241201813244,616.3083236770954,1373.5447083816146,890.6489957512553,15.763556020157814,0,0,874.551724137931,876.0689655172414,876.4827586206897,877.0862068965517,877.6206896551724,878.7758620689655,879.1724137931035,879.6724137931035,879.8103448275862,880.1034482758621,880.448275862069,880.8793103448276,881.448275862069,881.6724137931035,881.8103448275862,882.1379310344828,882.551724137931,882.8448275862069,883.2931034482758,884.3103448275862,884.8448275862069,885.1206896551724,885.4137931034483,885.8620689655172,886.1034482758621,886.948275862069,887.2413793103449,888.1206896551724,888.4137931034483,888.8793103448276,889.2068965517242,889.6896551724138,889.9310344827586,890.8793103448276,891.2413793103449,891.3965517241379,892.0344827586207,892.1896551724138,892.3965517241379,892.7758620689655,893.1724137931035,894.0344827586207,894.8103448275862,895.3620689655172,895.8275862068965,896.948275862069,91471.86801426871,105180.61593341263,108634.49108204519,110762.63049940548,116850.92508917954,120817.48424494649,127966.14268727704,136157.08234244946,143183.7054102259,159062.47205707492,171561.69560047568,196094.89922711055,207850.9714625446,225186.77199762187,234622.9123067776,248441.25683709868,251192.59215219977,261866.54488703923,273062.9313317479,291493.80023781216,313340.7517835909,328008.62336504157,345733.0011890607,359702.63614744355,377571.3341260404,392429.56629013084,405974.1141498217,436116.4509512484,454799.7253269917,472977.20957193815,501653.30202140304,505613.3174791914,554120.1331747918,558454.8992271106,568609.9762187871,599175.9979191438,610373.8263971462,614270.326099881,623613.446195006,627989.5876932222,647150.6254458976,644933.2746730085,674775.4640309156,720242.9551129607,734195.7288941736,741787.4283590964
0,1168,5.847647106510469,1.2579288144392529,-1.6929135239291992,-1.6112136756807138,-0.0816998482484852,22.965156864843237,0.4093413131495261,777.6007837548984,1559.9400071250445,1287.7561809761312,16.961481224839158,0,0,874.551724137931,875.7068965517242,875.8793103448276,875.7413793103449,876.2758620689655,877.2068965517242,877.3448275862069,877.3275862068965,877.6206896551724,877.6551724137931,877.6206896551724,878.3620689655172,878.5,879.0689655172414,879.7068965517242,879.8275862068965,880.3620689655172,880.8275862068965,880.948275862069,880.948275862069,881.1206896551724,881.5689655172414,881.5172413793103,881.8275862068965,882.4655172413793,882.8275862068965,883.8103448275862,884.1551724137931,884.4310344827586,884.6206896551724,884.948275862069,885.6896551724138,885.8793103448276,886.6034482758621,887.1724137931035,887.4655172413793,887.6896551724138,888.551724137931,888.6206896551724,889.7241379310345,890.0862068965517,890.6551724137931,890.5,891.2586206896551,891.7931034482758,892.1379310344828,91471.86801426871,111942.44857312723,116064.14060642093,120414.60552913201,130810.13079667061,145495.1640903686,158647.29488703923,172879.2547562426,185845.40784780023,206944.57074910818,215407.1664684899,247671.2654577883,267277.6982758621,291615.9262782402,311299.0002972651,328479.7633769322,343129.40338882286,360788.59096313914,376251.9456004756,391922.25594530324,408077.38198573125,426730.9693816885,449592.07728894183,466802.62544589775,486742.31777645665,508955.9013079667,528503.0502378122,565195.2345422118,590997.3486920333,623917.2009512485,657637.1180142687,697959.5933412603,729026.8302615933,756153.3427467301,792330.970273484,827688.1798454222,868779.0416171225,885729.4197384067,916711.4768133174,943707.7859690845,986099.9408442331,1024740.1224732462,1055459.0775862068,1106740.260701546,1138266.0606420927,1201608.7395957191
0,1132,6.643287990285063,1.36875282527729,-1.8284705504631917,-1.7391746734074052,-0.08929587705578677,25.125626014968653,0.44686196495616504,724.6047935103245,1595.73296460177,1260.1825221238937,16.807413176135032,0,0,874.551724137931,875.4137931034483,875.2586206896551,874.8620689655172,874.0862068965517,873.7068965517242,873.6206896551724,873.5862068965517,873.448275862069,873.8275862068965,873.9310344827586,874.3793103448276,874.0172413793103,873.7241379310345,874.2758620689655,874.4310344827586,874.6724137931035,875.4655172413793,876.4655172413793,877.0862068965517,878.5344827586207,879.1551724137931,879.6896551724138,880.5172413793103,881.1206896551724,881.6724137931035,883.5344827586207,885.3275862068965,885.8793103448276,888.6551724137931,889.4137931034483,891.1034482758621,891.448275862069,892.9655172413793,893.2413793103449,894.4827586206897,895.6034482758621,897.3103448275862,898.0344827586207,898.9827586206897,899.948275862069,901.6206896551724,901.7931034482758,902.4827586206897,903.7413793103449,905.551724137931,91471.86801426871,105632.17360285374,107093.46759809752,112586.0844233056,119838.32015457787,128884.44857312724,143157.1664684899,150952.03567181926,161886.41973840664,178693.34958382873,192882.7538644471,223755.44233055887,240069.396254459,261636.9928656362,273682.99286563613,291493.69351961947,303250.28923900117,316833.8005350773,335940.007431629,359775.63049940544,388985.7660523187,410635.75178359094,441287.42092746723,466560.66349583823,495508.76129607606,527448.8409631391,558696.8005350773,603283.9788941737,638543.6923305589,657697.9155766946,677158.966706302,696100.09274673,717773.4887039239,741769.8953626632,766770.079667063,804849.0772889417,832256.9289536265,866113.6623067777,904464.5160523186,921426.0514268727,944502.9800832344,977708.8906064207,996520.8192627822,1023461.4565992865,1060663.433115339,1120877.6266349584
0,1149,7.463453709394082,1.4616147564060384,-1.8120675713990642,-1.7157287793603324,-0.0963387920387318,27.1808026965738,0.48147935835474126,672.6788584095317,1587.0125611896185,1183.938117668791,16.769923735649087,0,0,874.551724137931,875.2931034482758,874.9827586206897,874.7586206896551,874.0689655172414,873.4310344827586,872.9310344827586,872.4827586206897,872.2586206896551,871.4655172413793,871.1724137931035,870.8793103448276,870.6034482758621,869.948275862069,870.2241379310345,869.7241379310345,869.7413793103449,869.6034482758621,869.448275862069,869.1551724137931,868.7241379310345,868.4827586206897,868.1551724137931,867.7931034482758,867.4655172413793,867.0862068965517,867.3448275862069,866.7931034482758,866.1206896551724,865.948275862069,865.6206896551724,865.0862068965517,864.1551724137931,864.2068965517242,864.2758620689655,863.6206896551724,863.2758620689655,863.1206896551724,863.1896551724138,863.4827586206897,863.6206896551724,863.4137931034483,862.6379310344828,862.1896551724138,862.3620689655172,861.8793103448276,91471.86801426871,108259.17271105826,110201.94797859692,110546.01070154579,121999.40903686089,130319.03834720571,136929.3400713436,148339.87039239,158868.36414982166,173392.83501783593,186875.93579072537,212845.14060642093,221476.8599881094,238752.3938763377,246075.72562425683,268250.02734839474,283509.53656361473,307255.7910225921,324168.2128418549,345086.0966111772,366128.1997621879,390122.7669441141,412751.6828180737,438218.9227110583,466343.9729488704,497999.76843044,528550.2604042806,573073.4399524376,607788.4164684898,652433.9456004758,696745.0975029727,731834.6649821644,784915.8897146257,820617.9571938169,845925.3721759808,892124.1664684899,935534.3376932226,970150.5199167656,1003756.8088585017,1045363.8703923898,1093001.7526753864,1127405.1046373367,1175113.5413198574,1222506.1881688463,1267829.8171819267,1321851.5543995243
0,615,8.362258667233347,1.5455812044527335,-1.658788149480972,-1.5558697495483895,-0.10291839993258275,29.128742591519767,0.5135180903471408,682.4226007412665,1558.7517545934863,1188.4285151013328,16.369101297292822,0,0,874.551724137931,876.0,876.2586206896551,875.8448275862069,875.6896551724138,876.0,876.448275862069,877.3620689655172,877.3965517241379,876.8965517241379,877.5689655172414,877.5,877.7931034482758,877.6551724137931,877.7068965517242,878.0862068965517,878.1896551724138,879.1896551724138,879.3275862068965,879.8620689655172,879.9137931034483,880.2758620689655,880.551724137931,880.6034482758621,880.6896551724138,880.8793103448276,880.948275862069,881.2931034482758,881.6896551724138,882.2413793103449,882.4310344827586,882.7241379310345,882.6034482758621,882.9310344827586,883.051724137931,882.448275862069,882.8448275862069,883.0862068965517,883.5172413793103,883.8448275862069,884.0862068965517,884.7241379310345,883.8793103448276,883.551724137931,883.4655172413793,883.6206896551724,91471.86801426871,115489.3448275862,118548.15725326994,122052.92419738405,132382.04161712248,148574.1379310345,159310.661117717,166612.74821640903,177385.6875743163,196440.92033293698,205443.21076099883,235143.62931034484,248100.92271105826,267334.7086801427,274772.7589179548,295015.7339476813,300696.0502378121,315060.2571343638,322693.116825208,336353.63614744355,362741.5960166468,374337.7514863258,385000.83353151,399689.85998810944,411609.3174791914,415864.8992271106,439302.08353151014,468932.6554696789,501280.52437574306,517231.80380499404,542863.728002378,568289.5790725327,603253.8255053508,621478.4780023781,637658.2214625445,664740.6956004758,692908.9931629013,697859.5615338882,708039.8703923901,713156.2690249702,735315.2167063021,760829.4066587398,775371.244054697,795665.5576694411,811649.1453626635,834046.5457788346
0,1309,9.139576202151419,1.6417788762128216,-1.483877941845075,-1.3949058874710183,-0.08897205437405692,24.981666606991226,0.4437520587856747,607.0633765121507,1486.2317739000107,1044.157263676266,13.570158995053395,0,0,874.551724137931,875.0172413793103,874.3793103448276,873.7413793103449,872.3965517241379,870.8103448275862,870.3275862068965,869.5,868.7758620689655,867.8965517241379,867.4655172413793,866.9655172413793,866.3275862068965,865.5689655172414,865.3793103448276,864.6379310344828,864.3620689655172,863.7586206896551,863.448275862069,862.7758620689655,862.2758620689655,861.7068965517242,861.6896551724138,861.1034482758621,860.6034482758621,860.051724137931,859.5172413793103,858.5344827586207,857.7586206896551,857.0689655172414,856.8620689655172,855.9310344827586,854.6034482758621,853.8448275862069,853.0862068965517,852.0344827586207,851.2413793103449,850.9137931034483,850.5172413793103,849.9655172413793,849.2413793103449,847.9827586206897,847.2068965517242,846.5344827586207,846.448275862069,847.448275862069,91471.86801426871,97993.74108204519,96486.26991676576,96886.70897740783,100073.85998810938,108493.08472057074,112049.53061831152,118043.21551724138,122625.346313912,132975.7824019025,142200.9039833531,156009.79191438764,166884.01337693224,179733.86593341257,187150.75267538644,201766.74821640903,210191.40338882283,222280.07966706305,229652.86801426875,238298.07045184303,257296.61355529132,266138.3451248514,279137.9726516052,297479.5755053508,313290.894470868,326915.2904280618,341469.0428061831,367709.2488109393,387623.7003567182,411358.133174792,439491.9809750298,464819.20214030915,508867.5841260404,532763.5793697978,555626.6304994054,591802.4470868013,613957.1141498216,632832.1132580261,649038.0428061832,667886.9643281808,703463.1141498217,753966.8100475624,790116.6468489893,827465.1453626637,852414.2473246136,923344.9714625445
0,841,10.023873063339584,1.8260643860732,-1.9278874683930594,-1.8354860802431818,-0.09240138814987757,25.959272769908857,0.46100486410381636,1131.0740072202166,1611.7275012893244,1687.116168127901,14.434919483105658,0,0,874.551724137931,877.0689655172414,877.3448275862069,876.9827586206897,877.1379310344828,877.6034482758621,877.6896551724138,877.9827586206897,878.1896551724138,877.8965517241379,878.6379310344828,879.0689655172414,879.2241379310345,879.0344827586207,879.051724137931,879.0172413793103,879.6034482758621,880.2068965517242,880.7241379310345,880.4655172413793,880.5,880.4655172413793,880.4137931034483,881.1206896551724,881.2241379310345,881.1896551724138,881.2413793103449,881.2586206896551,881.4655172413793,881.5172413793103,881.4655172413793,881.6724137931035,881.6034482758621,881.6379310344828,881.8103448275862,881.2586206896551,881.1551724137931,881.2068965517242,881.3448275862069,881.7068965517242,881.6206896551724,881.7068965517242,880.948275862069,880.5862068965517,880.5172413793103,880.6034482758621,91471.86801426871,109694.34007134366,108638.12247324613,110533.87901307966,120565.18787158144,132487.10136741973,141440.35196195007,154213.01694411415,167310.18816884665,191638.40309155767,208939.61028537457,250875.85731272295,275237.58769322233,307669.1712247324,326307.18697978597,361009.29280618316,385772.72205707495,421631.0951248514,446204.7514863258,487578.21432818077,530024.2844827586,565300.4901902496,601686.51843044,634708.8302615932,671012.6911414983,700401.1536860879,724222.4244946493,775213.6400118906,814847.6626040428,869872.0772889417,914548.1453626633,972708.9444114153,1023200.3772294886,1052144.8171819262,1087059.5329964329,1142953.7434601665,1164698.2690249705,1180620.5434007137,1213007.6397146252,1254869.8968489894,1288359.7871581449,1361307.6899524378,1368864.5662901308,1433831.1046373365,1485003.5600475622,1572311.5151605231
